word,gpt5mini_draw_s,gpt5mini_guess_s,gpt5mini_total_s,gpt5mini_guess_requests,gpt5mini_source,gpt54mini_draw_s,gpt54mini_guess_s,gpt54mini_total_s,gpt54mini_guess_requests,gpt54mini_source
eat,23.608,7.063,30.671,1,latest_trace,6.807,15.923,22.73,1,latest_trace
think,52.844,12.22,65.064,1,latest_trace,11.126,3.558,14.684,1,latest_trace
reflection,24.696,6.505,31.201,1,latest_trace,4.465,3.344,7.809,1,latest_trace
read,35.751,5.88,41.631,1,latest_trace,5.194,3.728,8.922,1,latest_trace
run,24.404,14.465,38.869,1,latest_trace,10.923,4.126,15.049,1,latest_trace
inspire,19.093,8.621,27.714,1,latest_trace,7.081,4.625,11.706,1,latest_trace
tennis,104.811,8.255,113.066,1,latest_trace,5.147,3.137,8.284,1,latest_trace
golf,17.812,7.226,25.038,1,latest_trace,4.197,3.932,8.129,1,latest_trace
soccer,53.448,13.299,66.747,1,latest_trace,22.519,10.856,33.375,1,latest_trace
screwdriver,38.316,9.952,48.268,1,latest_trace,3.718,3.894,7.612,1,latest_trace
wardrobe,20.987,9.231,30.218,1,latest_trace,6.156,5.184,11.34,1,latest_trace
piano,19.984,9.669,29.653,1,latest_trace,6.185,8.678,14.863,1,latest_trace
beautiful,41.082,7.041,48.123,1,latest_trace,10.33,7.247,17.577,1,latest_trace
fall,16.164,10.355,26.519,1,latest_trace,9.371,4.855,14.226,1,latest_trace
investment,20.259,8.676,28.935,1,latest_trace,6.981,7.412,14.393,1,latest_trace
software,61.798,12.538,74.336,1,latest_trace,7.903,2.718,10.621,1,latest_trace
tower,21.079,6.839,27.918,1,latest_trace,5.392,4.147,9.539,1,latest_trace
brazil,33.061,6.317,39.378,1,latest_trace,7.139,2.868,10.007,1,latest_trace
wind,18.342,7.571,25.913,1,latest_trace,6.426,4.482,10.908,1,latest_trace
jellyfish,27.642,18.277,45.919,1,latest_trace,5.883,3.779,9.662,1,latest_trace
parrot,21.61,6.641,28.251,1,latest_trace,8.064,4.009,12.073,1,latest_trace
amsterdam,27.812,7.812,35.624,1,latest_trace,6.286,7.849,14.135,1,latest_trace
gold,20.386,7.209,27.595,1,latest_trace,5.926,4.395,10.321,1,latest_trace
fire,23.345,11.129,34.474,1,latest_trace,3.289,3.15,6.439,1,latest_trace
igloo,18.622,17.577,36.199,1,latest_trace,6.086,7.803,13.889,1,latest_trace
luigi,15.873,8.867,24.74,1,latest_trace,19.871,3.931,23.802,1,latest_trace
pikachu,17.468,11.453,28.921,1,latest_trace,5.427,4.18,9.607,1,latest_trace
sonic,25.232,10.276,35.508,1,latest_trace,7.147,4.575,11.722,1,latest_trace
maman,,,60.291,,game_summary_fallback,6.29,3.178,9.468,1,latest_trace
dragonfly,32.619,10.605,43.224,1,latest_trace,5.968,4.417,10.385,1,latest_trace
funny,16.904,8.443,25.347,1,latest_trace,7.861,5.718,13.579,1,latest_trace
mitochondria,14.298,13.779,28.077,1,latest_trace,4.337,10.989,15.326,1,latest_trace
atom,22.136,8.236,30.372,1,latest_trace,3.325,2.851,6.176,1,latest_trace
algae,28.247,10.706,38.953,1,latest_trace,5.809,3.129,8.938,1,latest_trace
galaxy,38.517,8.063,46.58,1,latest_trace,6.707,2.302,9.009,1,latest_trace
vampire,18.64,9.897,28.537,1,latest_trace,8.352,7.419,15.771,2,latest_trace
werewolf,74.417,9.303,83.72,1,latest_trace,36.961,4.172,41.133,1,latest_trace
generator,17.465,7.785,25.25,1,latest_trace,4.397,3.848,8.245,1,latest_trace
bulldozer,30.775,13.256,44.031,1,latest_trace,5.082,3.659,8.741,1,latest_trace
forklift,42.024,10.187,52.211,1,latest_trace,5.764,2.566,8.33,1,latest_trace
tractor,29.446,9.382,38.828,1,latest_trace,5.596,3.206,8.802,1,latest_trace
checkmate,24.591,7.743,32.334,1,latest_trace,32.532,1.739,34.271,1,latest_trace
salvation,27.122,7.279,34.401,1,latest_trace,45.57,4.398,49.968,1,latest_trace
renaissance,50.289,10.198,60.487,1,latest_trace,7.988,3.995,11.983,1,latest_trace
enlightenment,30.367,11.438,41.805,1,latest_trace,8.91,5.786,14.696,1,latest_trace
hologram,55.834,9.534,65.368,1,latest_trace,29.982,3.124,33.106,1,latest_trace
paradox,21.004,9.264,30.268,1,latest_trace,68.431,6.928,75.359,1,latest_trace
supernova,46.263,5.305,51.568,1,latest_trace,9.391,4.109,13.5,1,latest_trace
blackhole,19.841,13.627,33.468,1,latest_trace,5.892,7.746,13.638,1,latest_trace
surrealism,29.007,5.788,34.795,1,latest_trace,15.968,9.084,25.052,1,latest_trace
feudalism,95.534,12.994,108.528,1,latest_trace,16.244,3.095,19.339,1,latest_trace
democracy,28.247,9.296,37.543,1,latest_trace,7.783,3.377,11.16,1,latest_trace
